group,kind,dataset,sample,source,frame_index,video_seconds,selection_score,crop_xywh,image
imaging_0718,imaging,0718_3,3,0718_123_split_screen.mp4,846,28.2,466.3968,"[240, 773, 1440, 170]",.work/frames/imaging_0718/0718_3/frame_03.png
imaging_0718,imaging,0718_3,4,0718_123_split_screen.mp4,932,31.067,532.3778,"[240, 773, 1440, 170]",.work/frames/imaging_0718/0718_3/frame_04.png
imaging_0718,imaging,0718_3,5,0718_123_split_screen.mp4,1304,43.467,635.9778,"[240, 773, 1440, 170]",.work/frames/imaging_0718/0718_3/frame_05.png
imaging_0718,imaging,0718_3,6,0718_123_split_screen.mp4,1561,52.033,673.2186,"[240, 773, 1440, 170]",.work/frames/imaging_0718/0718_3/frame_06.png
vslam_0718,vslam,VSLAM-11,1,0718_123_ORB_incremental_VSLAM_six_way_strict_sync.mp4,149,3.405,594.805,"[240, 2, 1440, 356]",.work/frames/vslam_0718/VSLAM-11/frame_01.png
vslam_0718,vslam,VSLAM-11,2,0718_123_ORB_incremental_VSLAM_six_way_strict_sync.mp4,844,19.286,504.3935,"[240, 2, 1440, 356]",.work/frames/vslam_0718/VSLAM-11/frame_02.png
vslam_0718,vslam,VSLAM-11,3,0718_123_ORB_incremental_VSLAM_six_way_strict_sync.mp4,1192,27.238,546.6463,"[240, 2, 1440, 356]",.work/frames/vslam_0718/VSLAM-11/frame_03.png
vslam_0718,vslam,VSLAM-11,4,0718_123_ORB_incremental_VSLAM_six_way_strict_sync.mp4,1331,30.414,516.1863,"[240, 2, 1440, 356]",.work/frames/vslam_0718/VSLAM-11/frame_04.png
vslam_0718,vslam,VSLAM-11,5,0718_123_ORB_incremental_VSLAM_six_way_strict_sync.mp4,1818,41.542,481.3958,"[240, 2, 1440, 356]",.work/frames/vslam_0718/VSLAM-11/frame_05.png
vslam_0718,vslam,VSLAM-11,6,0718_123_ORB_incremental_VSLAM_six_way_strict_sync.mp4,2124,48.534,504.877,"[240, 2, 1440, 356]",.work/frames/vslam_0718/VSLAM-11/frame_06.png
vslam_0718,vslam,VSLAM-22,1,0718_123_ORB_incremental_VSLAM_six_way_strict_sync.mp4,288,6.581,604.2196,"[240, 362, 1440, 356]",.work/frames/vslam_0718/VSLAM-22/frame_01.png
